"meanBlue","meanRed","sdBlue","skewnessBlue","dfRG","dfRB","dfGB","entropyBlue","energyBlue","contrastBlue","homogeneityBlue","coverage","cloudType"
0.23739520063327577,0.36464363307036834,0.5868898045278305,0.9441368702425423,0.6117983041977234,0.6394707761034885,0.5503639079483498,0.7085530155249581,0.37149424231756284,0.05458400096187586,0.5191679106939386,0.25232429691767183,"multinube"
0.25987979622623264,0.29104673631428957,0.48747860989648084,0.8372353671368395,0.5573470986316612,0.5014126340099967,0.35676896112688017,0.6829798924512082,0.2640302586577823,0.09892353332335471,0.34424531678433085,0.07567778443512928,"nube"
0.5576492184700154,0.34323730923516094,0.5959204245921021,0.3998546998130555,0.12530591137728006,0.18813781847816252,0.2275205828192301,0.47764709590448945,0.2124220021530722,0.009226156152692887,0.7234258716352961,0.023990638173236396,"cieloDespejado"
0.3991187861095769,0.47939740280826004,0.499999358007589,0.6194534781984459,0.5714023942612746,0.5968164349051351,0.5142432282915136,0.5867876493632189,0.35039294418168804,0.00543508932931243,0.8425892874610509,0.13932774222755495,"nube"
0.24045525825770744,0.36659961642227246,0.8025891271474513,0.9823668612544834,0.6490926835027275,0.6383459780978975,0.510857212994427,0.5618137453069082,0.21764056619336497,0.04466833686266524,0.5340668883741647,0.332943241595098,"nube"
0.35956198594230787,0.5448012738164673,0.7112244461565599,0.7014549063793705,0.670359546844748,0.7451623448951679,0.6816108810579098,0.6732746259008429,0.08761269190148932,0.5478398280401534,0.06665251551474831,0.3592094140203652,"nube"
0.18762759841677035,0.03553772577485394,0.3632258740433047,0.6007075987589776,0.16793736679007223,0.21912247564968254,0.2404043572406855,0.6594108842655602,0.3412202783347534,0.00405852720121118,0.8329894871924144,0.030557181545855763,"cieloDespejado"
0.5500361099028389,0.7881338369006006,0.703292770520691,0.4709485823554209,0.775868598388346,0.854536242660999,0.7722952463268861,0.9204893452263517,1.0,0.00411987132456685,0.9223508138578723,0.45205123280742815,"nube"
0.27117851502000107,0.43495571112917963,0.45858075868169407,0.6606846748832903,0.6104504617671148,0.6989333760621127,0.6586727420070042,0.47089551614442937,0.17648644465873128,0.07010897170072902,0.34770695920051226,0.20622846415020488,"nube"
0.42390479123337393,0.5030198221334324,0.7735155480461827,0.761821361309467,0.5534610232670851,0.5991835924125705,0.5365333587799735,0.7238468279806033,0.6008653105372986,0.010556096747043827,0.8592456807239119,0.1964111566473612,"nube"
0.32997525545471906,0.3335334723299043,0.5196420843175872,0.7360625068032052,0.4746563545827791,0.47222704692971923,0.38738361427347967,0.5436705714244838,0.2587691773937622,0.020898715944809923,0.6075890555198737,0.06046420877437223,"nube"
