"","cieloDespejado","multinube","nube"
"1",4.90376669404213e-06,0.815355002880096,0.166203558444977
"2",1.49055028941802e-06,0.124749466776848,0.886089563369751
"3",2.39379314734833e-05,0.447428345680237,0.539600849151611
"4",5.54527332496946e-06,0.441012531518936,0.555557131767273
"5",2.13219323086378e-06,0.447951436042786,0.543910562992096
"6",1.2497725947469e-05,0.895570456981659,0.102413013577461
"7",0.000179940645466559,0.113092437386513,0.899706363677979
"8",2.7608395612333e-05,0.561739683151245,0.445603579282761
"9",0.2042056620121,0.0039724507369101,0.787719249725342
"10",3.90764080293593e-06,0.611396133899689,0.363304853439331
"11",2.90219577436801e-06,0.545241951942444,0.43666198849678
"12",0.000519048538990319,0.297874391078949,0.696111738681793
"13",0.518015146255493,0.00282425479963422,0.481138348579407
"14",1.6805181530799e-06,0.264312267303467,0.728652656078339
"15",1.66146537594614e-06,0.00947055965662003,0.990357398986816
"16",4.72376598281699e-07,0.027671841904521,0.975245177745819
"17",2.7406824301579e-05,0.427229970693588,0.562697291374207
"18",0.00233904412016273,0.105390168726444,0.861528038978577
"19",0.000106235405837651,0.210544899106026,0.798364698886871
"20",9.87416683528863e-07,0.0701459646224976,0.937682390213013
"21",0.000312794698402286,0.362606048583984,0.628190279006958
"22",8.41440341901034e-05,0.0621544681489468,0.941008329391479
"23",0.231929019093513,0.0109627256169915,0.661552608013153
"24",1.28343881442561e-05,0.0492453724145889,0.959855198860168
"25",1.41215639359871e-06,0.0148325050249696,0.985379815101624
"26",1.46940203649137e-06,0.318789333105087,0.686276793479919
"27",0.00197113747708499,0.134207516908646,0.806083261966705
"28",1.09777492980356e-05,0.908521115779877,0.0840265899896622
"29",3.22450841849786e-06,0.0183302219957113,0.984132766723633
"30",4.31618900620379e-05,0.525837302207947,0.48940321803093
"31",2.71133249043487e-05,0.746544122695923,0.244806885719299
"32",0.000101141704362817,0.525179505348206,0.489800065755844
"33",3.45593944075517e-05,0.288659453392029,0.72654128074646
"34",1.78666450665332e-05,0.605205416679382,0.390891551971436
"35",0.000926404260098934,0.183718606829643,0.798977732658386
"36",1.02653552858101e-06,0.168529331684113,0.825871348381042
"37",1.23463078125496e-05,0.732961058616638,0.261279851198196
"38",2.23110473598354e-05,0.15536667406559,0.850132286548615
"39",0.0983276665210724,0.00767489802092314,0.821464121341705
"40",4.62498064734973e-06,0.942520976066589,0.0506722554564476
"41",1.08148669824004e-05,0.734062612056732,0.261380434036255
"42",9.93228059087414e-06,0.0748302340507507,0.936628520488739
"43",0.000259232125245035,0.334929823875427,0.675211429595947
"44",3.89989736504504e-06,0.638608634471893,0.365678429603577
"45",5.31987170688808e-05,0.282739490270615,0.721663475036621
